QUANTIDADE DE SUPORTES PRIMEIRO TRIMESTRE,QUANTIDADE DE SUPORTES SEGUNDO TRIMESTRE,QUANTIDADE DE SUPORTES TERCEIRO TRIMESTRE,QUANTIDADE DE SUPORTES QUARTO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET PRIMEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET SEGUNDO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET TERCEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET QUARTO TRIMESTRE,LOCALIDADE_Cidade,LOCALIDADE_Área Rural,CIDADE_Juiz de Fora,CIDADE_Mercês,CIDADE_Rio Pomba,CIDADE_Silveirânia,CIDADE_Tabuleiro,CIDADE_Ubá,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Roteador desconfigurado,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Roteador desconfigurado,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Roteador desconfigurado,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Roteador desconfigurado,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Valor da mensalidade adequado,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Valor da mensalidade adequado,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Valor da mensalidade adequado,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Valor da mensalidade adequado,Outlier,QUANTIDADE DE SUPORTES PRIMEIRO TRIMESTRE_BoxCox,QUANTIDADE DE SUPORTES SEGUNDO TRIMESTRE_BoxCox,QUANTIDADE DE SUPORTES TERCEIRO TRIMESTRE_BoxCox,QUANTIDADE DE SUPORTES QUARTO TRIMESTRE_BoxCox,QUANTIDADE DE INSTALAÇÕES INTERNET PRIMEIRO TRIMESTRE_BoxCox,QUANTIDADE DE INSTALAÇÕES INTERNET SEGUNDO TRIMESTRE_BoxCox,QUANTIDADE DE INSTALAÇÕES INTERNET TERCEIRO TRIMESTRE_BoxCox,QUANTIDADE DE INSTALAÇÕES INTERNET QUARTO TRIMESTRE_BoxCox
0.01,0.3433333333333335,0.6100000000000001,1.0100000000000002,0.26,0.676666666666667,1.01,0.3433333333333332,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-10.108988165798047,-0.7654315098855945,-0.4411315025057338,0.009996322819468025,-1.3286111054268752,-0.3623543084044891,0.009970408765262402,-0.895247643707592
0.01,0.3433333333333335,0.6100000000000001,1.0100000000000002,0.01,0.3433333333333335,0.6100000000000001,0.6766666666666667,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-10.108988165798047,-0.7654315098855945,-0.4411315025057338,0.009996322819468025,-4.394107216043663,-0.8746329738850249,-0.44795898955863306,-0.3655885811573444
0.01,0.3433333333333335,0.6100000000000001,1.0100000000000002,0.26,1.01,0.2099999999999999,0.01,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-10.108988165798047,-0.7654315098855945,-0.4411315025057338,0.009996322819468025,-1.3286111054268752,0.009969611915150084,-1.1567773170663278,-2.3172093155576468
0.01,0.3433333333333335,0.6100000000000001,1.0100000000000002,0.26,0.3433333333333335,0.01,0.01,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,-10.108988165798047,-0.7654315098855945,-0.4411315025057338,0.009996322819468025,-1.3286111054268752,-0.8746329738850249,-2.086601734003897,-2.3172093155576468
0.01,0.6766666666666665,0.01,0.6100000000000001,0.26,0.676666666666667,1.01,0.01,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-10.108988165798047,-0.34402869070313974,-1.8848238738184024,-0.3966070573421842,-1.3286111054268752,-0.3623543084044891,0.009970408765262402,-2.3172093155576468
0.6766666666666665,1.01,1.0100000000000002,0.81,0.26,0.676666666666667,1.01,0.3433333333333332,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-0.4148819803076755,0.00998328190315759,0.009973609293950097,-0.19143292960314096,-1.3286111054268752,-0.3623543084044891,0.009970408765262402,-0.895247643707592
0.343333333333333,0.6766666666666665,1.0100000000000002,0.6100000000000001,0.26,0.676666666666667,1.01,0.3433333333333332,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-1.2647086271561305,-0.34402869070313974,0.009973609293950097,-0.3966070573421842,-1.3286111054268752,-0.3623543084044891,0.009970408765262402,-0.895247643707592
0.01,0.3433333333333335,0.6100000000000001,1.0100000000000002,0.76,0.676666666666667,0.2099999999999999,0.01,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-10.108988165798047,-0.7654315098855945,-0.4411315025057338,0.009996322819468025,-0.27366492303016215,-0.3623543084044891,-1.1567773170663278,-2.3172093155576468
0.01,0.3433333333333335,1.0100000000000002,0.6100000000000001,0.76,0.676666666666667,1.01,0.3433333333333332,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-10.108988165798047,-0.7654315098855945,0.009973609293950097,-0.3966070573421842,-0.27366492303016215,-0.3623543084044891,0.009970408765262402,-0.895247643707592
0.6766666666666665,0.01,0.4100000000000001,0.81,0.76,0.676666666666667,1.01,0.3433333333333332,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,-0.4148819803076755,-1.4349792966965034,-0.7285126229031509,-0.19143292960314096,-0.27366492303016215,-0.3623543084044891,0.009970408765262402,-0.895247643707592
0.01,0.3433333333333335,0.6100000000000001,1.0100000000000002,0.01,0.3433333333333335,0.6100000000000001,0.6766666666666667,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,-10.108988165798047,-0.7654315098855945,-0.4411315025057338,0.009996322819468025,-4.394107216043663,-0.8746329738850249,-0.44795898955863306,-0.3655885811573444
0.6766666666666665,0.3433333333333335,1.0100000000000002,0.6100000000000001,0.01,0.01,1.01,0.3433333333333332,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,-0.4148819803076755,-0.7654315098855945,0.009973609293950097,-0.3966070573421842,-4.394107216043663,-2.1421723660895164,0.009970408765262402,-0.895247643707592
0.01,0.3433333333333335,0.6100000000000001,1.0100000000000002,0.01,0.01,0.01,0.01,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,-10.108988165798047,-0.7654315098855945,-0.4411315025057338,0.009996322819468025,-4.394107216043663,-2.1421723660895164,-2.086601734003897,-2.3172093155576468
0.6766666666666665,0.01,0.4100000000000001,0.81,0.01,0.3433333333333335,0.6100000000000001,0.01,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,-0.4148819803076755,-1.4349792966965034,-0.7285126229031509,-0.19143292960314096,-4.394107216043663,-0.8746329738850249,-0.44795898955863306,-2.3172093155576468
0.343333333333333,0.6766666666666665,1.0100000000000002,0.6100000000000001,0.26,0.676666666666667,1.01,0.3433333333333332,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-1.2647086271561305,-0.34402869070313974,0.009973609293950097,-0.3966070573421842,-1.3286111054268752,-0.3623543084044891,0.009970408765262402,-0.895247643707592
0.01,0.3433333333333335,0.6100000000000001,1.0100000000000002,0.01,0.3433333333333335,0.2099999999999999,0.01,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-10.108988165798047,-0.7654315098855945,-0.4411315025057338,0.009996322819468025,-4.394107216043663,-0.8746329738850249,-1.1567773170663278,-2.3172093155576468
0.01,1.01,0.6100000000000001,0.01,0.76,0.3433333333333335,1.01,0.3433333333333332,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,-10.108988165798047,0.00998328190315759,-0.4411315025057338,-1.0645205102855768,-0.27366492303016215,-0.8746329738850249,0.009970408765262402,-0.895247643707592
0.01,0.3433333333333335,0.6100000000000001,1.0100000000000002,0.01,0.3433333333333335,0.6100000000000001,0.01,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,-10.108988165798047,-0.7654315098855945,-0.4411315025057338,0.009996322819468025,-4.394107216043663,-0.8746329738850249,-0.44795898955863306,-2.3172093155576468
0.01,0.6766666666666665,0.01,0.6100000000000001,0.76,1.01,0.01,0.6766666666666667,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,-10.108988165798047,-0.34402869070313974,-1.8848238738184024,-0.3966070573421842,-0.27366492303016215,0.009969611915150084,-2.086601734003897,-0.3655885811573444
0.01,0.3433333333333335,0.01,1.0100000000000002,0.76,0.3433333333333335,1.01,0.01,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,-10.108988165798047,-0.7654315098855945,-1.8848238738184024,0.009996322819468025,-0.27366492303016215,-0.8746329738850249,0.009970408765262402,-2.3172093155576468
0.01,0.3433333333333335,0.6100000000000001,0.01,0.76,1.01,1.01,0.6766666666666667,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,-10.108988165798047,-0.7654315098855945,-0.4411315025057338,-1.0645205102855768,-0.27366492303016215,0.009969611915150084,0.009970408765262402,-0.3655885811573444
0.6766666666666665,1.01,0.01,0.6100000000000001,0.26,0.3433333333333335,0.6100000000000001,0.01,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.4148819803076755,0.00998328190315759,-1.8848238738184024,-0.3966070573421842,-1.3286111054268752,-0.8746329738850249,-0.44795898955863306,-2.3172093155576468
0.6766666666666665,0.3433333333333335,1.0100000000000002,1.0100000000000002,0.01,0.676666666666667,0.6100000000000001,1.0100000000000002,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-0.4148819803076755,-0.7654315098855945,0.009973609293950097,0.009996322819468025,-4.394107216043663,-0.3623543084044891,-0.44795898955863306,0.009967298817044118
0.343333333333333,0.01,0.6100000000000001,0.81,0.01,1.01,1.01,0.6766666666666667,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,-1.2647086271561305,-1.4349792966965034,-0.4411315025057338,-0.19143292960314096,-4.394107216043663,0.009969611915150084,0.009970408765262402,-0.3655885811573444
0.01,0.6766666666666665,0.6100000000000001,1.0100000000000002,0.01,0.01,0.2099999999999999,0.6766666666666667,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,-10.108988165798047,-0.34402869070313974,-0.4411315025057338,0.009996322819468025,-4.394107216043663,-2.1421723660895164,-1.1567773170663278,-0.3655885811573444
0.343333333333333,0.6766666666666665,1.0100000000000002,1.0100000000000002,1.01,1.01,1.01,1.0100000000000002,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,-1.2647086271561305,-0.34402869070313974,0.009973609293950097,0.009996322819468025,0.00995134759128887,0.009969611915150084,0.009970408765262402,0.009967298817044118
0.01,0.3433333333333335,0.6100000000000001,0.81,0.01,0.3433333333333335,0.2099999999999999,0.6766666666666667,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,-10.108988165798047,-0.7654315098855945,-0.4411315025057338,-0.19143292960314096,-4.394107216043663,-0.8746329738850249,-1.1567773170663278,-0.3655885811573444
0.01,0.3433333333333335,0.01,0.81,0.26,0.676666666666667,1.01,0.6766666666666667,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,-10.108988165798047,-0.7654315098855945,-1.8848238738184024,-0.19143292960314096,-1.3286111054268752,-0.3623543084044891,0.009970408765262402,-0.3655885811573444
0.343333333333333,1.01,0.4100000000000001,0.01,0.01,0.3433333333333335,0.6100000000000001,1.0100000000000002,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,-1.2647086271561305,0.00998328190315759,-0.7285126229031509,-1.0645205102855768,-4.394107216043663,-0.8746329738850249,-0.44795898955863306,0.009967298817044118
0.343333333333333,0.6766666666666665,0.01,1.0100000000000002,0.26,0.01,0.01,0.01,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,-1.2647086271561305,-0.34402869070313974,-1.8848238738184024,0.009996322819468025,-1.3286111054268752,-2.1421723660895164,-2.086601734003897,-2.3172093155576468
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,-10.108988165798047,-1.4349792966965034,-1.8848238738184024,-1.0645205102855768,-4.394107216043663,-2.1421723660895164,-2.086601734003897,-2.3172093155576468
0.01,0.01,0.01,0.6100000000000001,0.01,0.3433333333333335,0.01,0.01,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,-10.108988165798047,-1.4349792966965034,-1.8848238738184024,-0.3966070573421842,-4.394107216043663,-0.8746329738850249,-2.086601734003897,-2.3172093155576468
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,-10.108988165798047,-1.4349792966965034,-1.8848238738184024,-1.0645205102855768,-4.394107216043663,-2.1421723660895164,-2.086601734003897,-2.3172093155576468
0.01,0.6766666666666665,0.6100000000000001,0.81,1.01,0.676666666666667,1.01,0.3433333333333332,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,-10.108988165798047,-0.34402869070313974,-0.4411315025057338,-0.19143292960314096,0.00995134759128887,-0.3623543084044891,0.009970408765262402,-0.895247643707592
0.343333333333333,0.3433333333333335,0.6100000000000001,0.01,0.26,0.676666666666667,0.6100000000000001,0.01,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,-1.2647086271561305,-0.7654315098855945,-0.4411315025057338,-1.0645205102855768,-1.3286111054268752,-0.3623543084044891,-0.44795898955863306,-2.3172093155576468
