QUANTIDADE DE SUPORTES PRIMEIRO TRIMESTRE,QUANTIDADE DE SUPORTES SEGUNDO TRIMESTRE,QUANTIDADE DE SUPORTES TERCEIRO TRIMESTRE,QUANTIDADE DE SUPORTES QUARTO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET PRIMEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET SEGUNDO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET TERCEIRO TRIMESTRE,QUANTIDADE DE INSTALAÇÕES INTERNET QUARTO TRIMESTRE,LOCALIDADE_Cidade,LOCALIDADE_Área Rural,CIDADE_Juiz de Fora,CIDADE_Mercês,CIDADE_Rio Pomba,CIDADE_Silveirânia,CIDADE_Tabuleiro,CIDADE_Ubá,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET PRIMEIRO TRIMESTRE_Roteador desconfigurado,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET SEGUNDO TRIMESTRE_Roteador desconfigurado,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET TERCEIRO TRIMESTRE_Roteador desconfigurado,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Cabo de internet arrebentado,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Falta de energia no local,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Falta de pagamento da mensalidade,MOTIVO FALTA DE INTERNET QUARTO TRIMESTRE_Roteador desconfigurado,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET PRIMEIRO TRIMESTRE_Valor da mensalidade adequado,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET SEGUNDO TRIMESTRE_Valor da mensalidade adequado,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET TERCEIRO TRIMESTRE_Valor da mensalidade adequado,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Indicação,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Promoção,MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Publicidade (Panfletos / Redes Sociais),MOTIVO PARA CONTRATAR INTERNET QUARTO TRIMESTRE_Valor da mensalidade adequado,Outlier,QUANTIDADE DE SUPORTES PRIMEIRO TRIMESTRE_BoxCox,QUANTIDADE DE SUPORTES SEGUNDO TRIMESTRE_BoxCox,QUANTIDADE DE SUPORTES TERCEIRO TRIMESTRE_BoxCox,QUANTIDADE DE SUPORTES QUARTO TRIMESTRE_BoxCox,QUANTIDADE DE INSTALAÇÕES INTERNET PRIMEIRO TRIMESTRE_BoxCox,QUANTIDADE DE INSTALAÇÕES INTERNET SEGUNDO TRIMESTRE_BoxCox,QUANTIDADE DE INSTALAÇÕES INTERNET TERCEIRO TRIMESTRE_BoxCox,QUANTIDADE DE INSTALAÇÕES INTERNET QUARTO TRIMESTRE_BoxCox
0.01,0.4100000000000001,0.6766666666666665,1.01,0.41000000000000003,0.01,0.6000000000000001,1.01,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-6.384434864379248,-0.7117718349685686,-0.3464183419909681,0.00997687007180209,-0.8510685410490463,-2.5382129131552515,-0.39020905506866244,0.0099595846270765
0.76,0.01,0.343333333333333,1.01,0.41000000000000003,0.76,1.0,0.01,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,-0.2795806939513499,-1.732998391808332,-0.7789597221884236,0.00997687007180209,-0.8510685410490463,-0.2637761672330138,0.0,-3.0884810752673757
1.01,0.4100000000000001,0.6766666666666665,1.01,0.01,0.26,0.8,0.3433333333333335,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.009943654988825455,-0.7117718349685686,-0.3464183419909681,0.00997687007180209,-3.6500831264590756,-1.1146461868242916,-0.1977287868862991,-0.9690674988728251
1.01,0.81,0.6766666666666665,0.676666666666667,0.01,0.26,0.8,0.676666666666667,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.009943654988825455,-0.19946696589343277,-0.3464183419909681,-0.35245954765126075,-3.6500831264590756,-1.1146461868242916,-0.1977287868862991,-0.37666774065275704
0.51,0.81,1.01,0.3433333333333335,0.41000000000000003,0.76,0.8,0.01,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,-0.704876616352735,-0.19946696589343277,0.009981442431751444,-0.8140971815900354,-0.8510685410490463,-0.2637761672330138,-0.1977287868862991,-3.0884810752673757
0.76,1.0100000000000002,0.343333333333333,0.676666666666667,0.41000000000000003,0.76,1.0,0.01,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,-0.2795806939513499,0.009976405498707177,-0.7789597221884236,-0.35245954765126075,-0.8510685410490463,-0.2637761672330138,0.0,-3.0884810752673757
0.01,0.4100000000000001,0.6766666666666665,1.01,0.61,1.01,0.6000000000000001,0.3433333333333335,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,-6.384434864379248,-0.7117718349685686,-0.3464183419909681,0.00997687007180209,-0.4816668580426737,0.009964734264490092,-0.39020905506866244,-0.9690674988728251
0.76,0.81,1.01,0.3433333333333335,0.01,0.26,0.8,0.3433333333333335,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,-0.2795806939513499,-0.19946696589343277,0.009981442431751444,-0.8140971815900354,-3.6500831264590756,-1.1146461868242916,-0.1977287868862991,-0.9690674988728251
0.51,0.81,1.01,0.3433333333333335,0.41000000000000003,0.76,1.0,0.01,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-0.704876616352735,-0.19946696589343277,0.009981442431751444,-0.8140971815900354,-0.8510685410490463,-0.2637761672330138,0.0,-3.0884810752673757
0.01,1.0100000000000002,0.343333333333333,0.676666666666667,0.61,0.01,0.6000000000000001,0.01,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,-6.384434864379248,0.009976405498707177,-0.7789597221884236,-0.35245954765126075,-0.4816668580426737,-2.5382129131552515,-0.39020905506866244,-3.0884810752673757
0.51,0.81,1.01,0.3433333333333335,0.41000000000000003,0.76,1.0,0.3433333333333335,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,-0.704876616352735,-0.19946696589343277,0.009981442431751444,-0.8140971815900354,-0.8510685410490463,-0.2637761672330138,0.0,-0.9690674988728251
0.01,0.4100000000000001,0.6766666666666665,1.01,0.41000000000000003,0.76,1.0,0.3433333333333335,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-6.384434864379248,-0.7117718349685686,-0.3464183419909681,0.00997687007180209,-0.8510685410490463,-0.2637761672330138,0.0,-0.9690674988728251
0.01,0.4100000000000001,0.01,0.3433333333333335,0.41000000000000003,0.76,1.0,0.3433333333333335,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-6.384434864379248,-0.7117718349685686,-1.505727183829408,-0.8140971815900354,-0.8510685410490463,-0.2637761672330138,0.0,-0.9690674988728251
0.01,0.4100000000000001,0.6766666666666665,0.3433333333333335,0.41000000000000003,0.76,1.0,0.01,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,-6.384434864379248,-0.7117718349685686,-0.3464183419909681,-0.8140971815900354,-0.8510685410490463,-0.2637761672330138,0.0,-3.0884810752673757
1.01,0.4100000000000001,0.01,1.01,0.61,0.01,0.6000000000000001,0.01,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.009943654988825455,-0.7117718349685686,-1.505727183829408,0.00997687007180209,-0.4816668580426737,-2.5382129131552515,-0.39020905506866244,-3.0884810752673757
0.01,0.4100000000000001,0.6766666666666665,0.01,0.01,0.01,0.8,0.3433333333333335,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,-6.384434864379248,-0.7117718349685686,-0.3464183419909681,-1.7097092116219943,-3.6500831264590756,-2.5382129131552515,-0.1977287868862991,-0.9690674988728251
0.01,0.01,0.01,0.3433333333333335,0.41000000000000003,0.76,1.0,0.01,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,-6.384434864379248,-1.732998391808332,-1.505727183829408,-0.8140971815900354,-0.8510685410490463,-0.2637761672330138,0.0,-3.0884810752673757
0.51,0.01,0.343333333333333,1.01,0.01,0.01,1.0,0.01,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,-0.704876616352735,-1.732998391808332,-0.7789597221884236,0.00997687007180209,-3.6500831264590756,-2.5382129131552515,0.0,-3.0884810752673757
0.01,0.4100000000000001,0.343333333333333,0.3433333333333335,0.01,0.26,0.6000000000000001,0.676666666666667,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-6.384434864379248,-0.7117718349685686,-0.7789597221884236,-0.8140971815900354,-3.6500831264590756,-1.1146461868242916,-0.39020905506866244,-0.37666774065275704
0.01,0.4100000000000001,0.343333333333333,0.3433333333333335,0.61,0.26,1.0,0.3433333333333335,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,-6.384434864379248,-0.7117718349685686,-0.7789597221884236,-0.8140971815900354,-0.4816668580426737,-1.1146461868242916,0.0,-0.9690674988728251
0.51,0.81,0.343333333333333,0.01,0.01,0.26,0.8,1.01,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,-0.704876616352735,-0.19946696589343277,-0.7789597221884236,-1.7097092116219943,-3.6500831264590756,-1.1146461868242916,-0.1977287868862991,0.0099595846270765
0.51,1.0100000000000002,1.01,1.01,0.61,0.26,0.8,0.01,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,-0.704876616352735,0.009976405498707177,0.009981442431751444,0.00997687007180209,-0.4816668580426737,-1.1146461868242916,-0.1977287868862991,-3.0884810752673757
0.01,0.01,0.01,0.01,0.41000000000000003,0.76,0.8,0.01,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,-6.384434864379248,-1.732998391808332,-1.505727183829408,-1.7097092116219943,-0.8510685410490463,-0.2637761672330138,-0.1977287868862991,-3.0884810752673757
0.01,0.4100000000000001,0.6766666666666665,0.676666666666667,0.01,0.76,1.0,1.01,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,-6.384434864379248,-0.7117718349685686,-0.3464183419909681,-0.35245954765126075,-3.6500831264590756,-0.2637761672330138,0.0,0.0099595846270765
0.01,1.0100000000000002,1.01,0.676666666666667,0.01,0.26,1.0,0.3433333333333335,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,-6.384434864379248,0.009976405498707177,0.009981442431751444,-0.35245954765126075,-3.6500831264590756,-1.1146461868242916,0.0,-0.9690674988728251
0.01,0.4100000000000001,0.6766666666666665,0.3433333333333335,0.41000000000000003,0.76,1.0,0.676666666666667,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,-6.384434864379248,-0.7117718349685686,-0.3464183419909681,-0.8140971815900354,-0.8510685410490463,-0.2637761672330138,0.0,-0.37666774065275704
0.01,0.81,0.6766666666666665,1.01,0.01,0.01,0.8,0.01,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,-6.384434864379248,-0.19946696589343277,-0.3464183419909681,0.00997687007180209,-3.6500831264590756,-2.5382129131552515,-0.1977287868862991,-3.0884810752673757
0.01,0.4100000000000001,1.01,1.01,0.41000000000000003,1.01,1.0,0.676666666666667,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-6.384434864379248,-0.7117718349685686,0.009981442431751444,0.00997687007180209,-0.8510685410490463,0.009964734264490092,0.0,-0.37666774065275704
0.01,0.4100000000000001,0.6766666666666665,1.01,0.61,0.01,0.8,0.676666666666667,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,-6.384434864379248,-0.7117718349685686,-0.3464183419909681,0.00997687007180209,-0.4816668580426737,-2.5382129131552515,-0.1977287868862991,-0.37666774065275704
0.51,1.0100000000000002,0.343333333333333,1.01,0.01,0.76,1.0,0.3433333333333335,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,-0.704876616352735,0.009976405498707177,-0.7789597221884236,0.00997687007180209,-3.6500831264590756,-0.2637761672330138,0.0,-0.9690674988728251
0.01,0.01,0.01,0.01,0.01,0.01,0.8,0.01,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,-6.384434864379248,-1.732998391808332,-1.505727183829408,-1.7097092116219943,-3.6500831264590756,-2.5382129131552515,-0.1977287868862991,-3.0884810752673757
0.51,0.01,0.01,0.01,0.01,0.01,0.8,0.01,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,-0.704876616352735,-1.732998391808332,-1.505727183829408,-1.7097092116219943,-3.6500831264590756,-2.5382129131552515,-0.1977287868862991,-3.0884810752673757
0.01,0.01,0.01,0.01,0.01,1.01,1.0,0.676666666666667,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,-6.384434864379248,-1.732998391808332,-1.505727183829408,-1.7097092116219943,-3.6500831264590756,0.009964734264490092,0.0,-0.37666774065275704
1.01,1.0100000000000002,0.343333333333333,1.01,1.01,0.01,0.6000000000000001,0.676666666666667,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.009943654988825455,0.009976405498707177,-0.7789597221884236,0.00997687007180209,0.009955539567447512,-2.5382129131552515,-0.39020905506866244,-0.37666774065275704
0.01,0.4100000000000001,1.01,0.676666666666667,0.61,0.26,1.0,0.01,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,-6.384434864379248,-0.7117718349685686,0.009981442431751444,-0.35245954765126075,-0.4816668580426737,-1.1146461868242916,0.0,-3.0884810752673757
0.51,0.81,0.6766666666666665,0.01,0.01,0.76,0.6000000000000001,0.676666666666667,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,-0.704876616352735,-0.19946696589343277,-0.3464183419909681,-1.7097092116219943,-3.6500831264590756,-0.2637761672330138,-0.39020905506866244,-0.37666774065275704
0.76,0.01,0.01,0.01,0.01,0.26,0.8,1.01,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,-0.2795806939513499,-1.732998391808332,-1.505727183829408,-1.7097092116219943,-3.6500831264590756,-1.1146461868242916,-0.1977287868862991,0.0099595846270765
